ID,location,date,vaccine,total_vaccinations
398,Bulgaria,21/05/2021,Oxford/AstraZeneca,401422
399,Bulgaria,21/05/2021,Pfizer/BioNTech,690983
400,Bulgaria,28/05/2021,Johnson&Johnson,6276
401,Bulgaria,28/05/2021,Moderna,181502
402,Bulgaria,28/05/2021,Oxford/AstraZeneca,411232
403,Bulgaria,28/05/2021,Pfizer/BioNTech,754371
404,Bulgaria,4/06/2021,Johnson&Johnson,11142
405,Bulgaria,4/06/2021,Moderna,190457
406,Bulgaria,4/06/2021,Oxford/AstraZeneca,435357
407,Bulgaria,4/06/2021,Pfizer/BioNTech,827459
408,Bulgaria,11/06/2021,Johnson&Johnson,17987
409,Bulgaria,11/06/2021,Moderna,202784
410,Bulgaria,11/06/2021,Oxford/AstraZeneca,457900
411,Bulgaria,11/06/2021,Pfizer/BioNTech,898271
412,Bulgaria,18/06/2021,Johnson&Johnson,25928
413,Bulgaria,18/06/2021,Moderna,216421
414,Bulgaria,18/06/2021,Oxford/AstraZeneca,467870
415,Bulgaria,18/06/2021,Pfizer/BioNTech,949706
416,Bulgaria,25/06/2021,Johnson&Johnson,33099
417,Bulgaria,25/06/2021,Moderna,225728
418,Bulgaria,25/06/2021,Oxford/AstraZeneca,470990
419,Bulgaria,25/06/2021,Pfizer/BioNTech,997114
420,Bulgaria,2/07/2021,Johnson&Johnson,39994
421,Bulgaria,2/07/2021,Moderna,234047
422,Bulgaria,2/07/2021,Oxford/AstraZeneca,472860
423,Bulgaria,2/07/2021,Pfizer/BioNTech,1042927
424,Bulgaria,9/07/2021,Johnson&Johnson,48424
425,Bulgaria,9/07/2021,Moderna,241862
426,Bulgaria,9/07/2021,Oxford/AstraZeneca,474021
427,Bulgaria,9/07/2021,Pfizer/BioNTech,1086383
428,Bulgaria,16/07/2021,Johnson&Johnson,58430
429,Bulgaria,16/07/2021,Moderna,247955
430,Bulgaria,16/07/2021,Oxford/AstraZeneca,474812
431,Bulgaria,16/07/2021,Pfizer/BioNTech,1127926
432,Bulgaria,23/07/2021,Johnson&Johnson,68108
433,Bulgaria,23/07/2021,Moderna,252761
434,Bulgaria,23/07/2021,Oxford/AstraZeneca,475720
435,Bulgaria,23/07/2021,Pfizer/BioNTech,1167720
436,Bulgaria,30/07/2021,Johnson&Johnson,78440
437,Bulgaria,30/07/2021,Moderna,258066
438,Bulgaria,30/07/2021,Oxford/AstraZeneca,476371
439,Bulgaria,30/07/2021,Pfizer/BioNTech,1212406
440,Bulgaria,6/08/2021,Johnson&Johnson,89960
441,Bulgaria,6/08/2021,Moderna,263844
442,Bulgaria,6/08/2021,Oxford/AstraZeneca,476700
443,Bulgaria,6/08/2021,Pfizer/BioNTech,1256750
444,Bulgaria,13/08/2021,Johnson&Johnson,102550
445,Bulgaria,13/08/2021,Moderna,269269
446,Bulgaria,13/08/2021,Oxford/AstraZeneca,477025
447,Bulgaria,13/08/2021,Pfizer/BioNTech,1298259
448,Bulgaria,20/08/2021,Johnson&Johnson,116845
449,Bulgaria,20/08/2021,Moderna,274596
450,Bulgaria,20/08/2021,Oxford/AstraZeneca,477363
451,Bulgaria,20/08/2021,Pfizer/BioNTech,1341032
452,Bulgaria,27/08/2021,Johnson&Johnson,133004
453,Bulgaria,27/08/2021,Moderna,280188
454,Bulgaria,27/08/2021,Oxford/AstraZeneca,477659
455,Bulgaria,27/08/2021,Pfizer/BioNTech,1387124
456,Bulgaria,3/09/2021,Johnson&Johnson,149767
457,Bulgaria,3/09/2021,Moderna,285738
458,Bulgaria,3/09/2021,Oxford/AstraZeneca,477825
459,Bulgaria,3/09/2021,Pfizer/BioNTech,1428817
460,Bulgaria,10/09/2021,Johnson&Johnson,162888
461,Bulgaria,10/09/2021,Moderna,290164
462,Bulgaria,10/09/2021,Oxford/AstraZeneca,477891
463,Bulgaria,10/09/2021,Pfizer/BioNTech,1463273
464,Bulgaria,17/09/2021,Johnson&Johnson,175977
465,Bulgaria,17/09/2021,Moderna,294725
466,Bulgaria,17/09/2021,Oxford/AstraZeneca,478020
467,Bulgaria,17/09/2021,Pfizer/BioNTech,1499714
468,Bulgaria,24/09/2021,Johnson&Johnson,185864
469,Bulgaria,24/09/2021,Moderna,298370
470,Bulgaria,24/09/2021,Oxford/AstraZeneca,478112
471,Bulgaria,24/09/2021,Pfizer/BioNTech,1529744
472,Bulgaria,1/10/2021,Johnson&Johnson,195779
473,Bulgaria,1/10/2021,Moderna,301960
474,Bulgaria,1/10/2021,Oxford/AstraZeneca,478260
475,Bulgaria,1/10/2021,Pfizer/BioNTech,1555083
476,Bulgaria,8/10/2021,Johnson&Johnson,203802
477,Bulgaria,8/10/2021,Moderna,304703
478,Bulgaria,8/10/2021,Oxford/AstraZeneca,478299
479,Bulgaria,8/10/2021,Pfizer/BioNTech,1578851
480,Bulgaria,15/10/2021,Johnson&Johnson,213919
481,Bulgaria,15/10/2021,Moderna,307734
482,Bulgaria,15/10/2021,Oxford/AstraZeneca,478334
483,Bulgaria,15/10/2021,Pfizer/BioNTech,1601200
484,Bulgaria,22/10/2021,Johnson&Johnson,236238
485,Bulgaria,22/10/2021,Moderna,307734
486,Bulgaria,22/10/2021,Oxford/AstraZeneca,478334
487,Bulgaria,22/10/2021,Pfizer/BioNTech,1601200
488,Chile,24/12/2020,Pfizer/BioNTech,420
489,Chile,25/12/2020,Pfizer/BioNTech,5202
490,Chile,26/12/2020,Pfizer/BioNTech,8345
491,Chile,27/12/2020,Pfizer/BioNTech,8656
492,Chile,28/12/2020,Pfizer/BioNTech,8656
493,Chile,29/12/2020,Pfizer/BioNTech,8656
494,Chile,30/12/2020,Pfizer/BioNTech,8656
495,Chile,31/12/2020,Pfizer/BioNTech,8656
496,Chile,1/01/2021,Pfizer/BioNTech,8656
497,Chile,2/01/2021,Pfizer/BioNTech,8656
498,Chile,3/01/2021,Pfizer/BioNTech,8656
499,Chile,4/01/2021,Pfizer/BioNTech,9061
500,Chile,5/01/2021,Pfizer/BioNTech,10504
501,Chile,6/01/2021,Pfizer/BioNTech,10709
502,Chile,7/01/2021,Pfizer/BioNTech,10709
503,Chile,8/01/2021,Pfizer/BioNTech,10709
504,Chile,9/01/2021,Pfizer/BioNTech,10709
